netID,fishID,species,tl,w,tag,scale
24,229,Pumpkinseed,229,320,,TRUE
24,268,Black Crappie,330,580,,TRUE
24,269,Black Crappie,307,440,,TRUE
26,220,Bluegill,132,49,,TRUE
26,221,Bluegill,137,41,,TRUE
27,225,Pumpkinseed,130,20,,TRUE
27,226,Bluegill,127,20,,TRUE
27,227,Largemouth Bass,137,20,,TRUE
27,228,Bluegill,122,20,,TRUE
28,230,Bluegill,137,50,,TRUE
28,231,Bluegill,234,280,,TRUE
29,232,Largemouth Bass,279,,o0516,TRUE
29,233,Largemouth Bass,351,,o0517,TRUE
29,234,Largemouth Bass,307,,o0518,TRUE
29,235,Largemouth Bass,325,,o0520,TRUE
29,237,Largemouth Bass,330,,o0521,TRUE
29,238,Black Crappie,279,,o0522,TRUE
29,239,Largemouth Bass,282,,o0523,TRUE
29,240,Largemouth Bass,262,,,TRUE
29,241,Largemouth Bass,391,,o0524,TRUE
29,242,Largemouth Bass,262,,,TRUE
29,243,Largemouth Bass,295,,o0525,TRUE
30,244,Largemouth Bass,305,,o0550,TRUE
30,245,Largemouth Bass,193,,,TRUE
30,246,Largemouth Bass,254,,,TRUE
30,247,Largemouth Bass,246,,,TRUE
30,248,Largemouth Bass,330,,o0549,TRUE
30,249,Largemouth Bass,300,,,TRUE
30,250,Largemouth Bass,284,,,TRUE
30,251,Largemouth Bass,371,,o0548,TRUE
30,252,Largemouth Bass,335,,o0547,TRUE
30,253,Largemouth Bass,305,,o0546,TRUE
30,254,Largemouth Bass,254,,,TRUE
30,255,Largemouth Bass,318,,o0545,TRUE
30,256,Largemouth Bass,348,,o0544,TRUE
30,257,Largemouth Bass,343,,o0543,TRUE
30,258,Largemouth Bass,325,,o0542,TRUE
30,259,Largemouth Bass,333,,o0541,TRUE
30,260,Largemouth Bass,330,,o0540,TRUE
30,261,Largemouth Bass,381,,o0539,TRUE
30,262,Largemouth Bass,320,,o0538,TRUE
30,263,Largemouth Bass,272,,,TRUE
30,264,Largemouth Bass,312,,o0536,TRUE
30,265,Largemouth Bass,310,,o0535,TRUE
30,266,Largemouth Bass,297,,,TRUE
30,267,Black Crappie,290,,o0537,TRUE
31,270,Largemouth Bass,307,,o0533,TRUE
31,271,Largemouth Bass,310,,o0532,TRUE
31,272,Largemouth Bass,277,,,TRUE
32,274,Largemouth Bass,140,,,TRUE
33,273,Largemouth Bass,130,,,TRUE
35,275,Largemouth Bass,239,,,TRUE
35,276,Largemouth Bass,236,,,TRUE
35,277,Largemouth Bass,320,,o0519,TRUE
35,278,Largemouth Bass,241,,,TRUE
35,279,Largemouth Bass,343,,g0988,TRUE
35,280,Largemouth Bass,226,,,TRUE
35,281,Largemouth Bass,211,,,TRUE
35,282,Largemouth Bass,409,,g0990,TRUE
35,283,Black Crappie,290,,o0408,TRUE
35,284,Largemouth Bass,371,,o0991,TRUE
35,285,Largemouth Bass,312,,o0989,TRUE
35,286,Largemouth Bass,333,,y00003,TRUE
35,287,Largemouth Bass,338,,y00228,TRUE
35,288,Largemouth Bass,282,,,TRUE
35,289,Largemouth Bass,302,,,TRUE
35,290,Largemouth Bass,305,,y160016,TRUE
35,291,Largemouth Bass,376,,o0534,TRUE
35,292,Largemouth Bass,251,,,TRUE
35,293,Largemouth Bass,338,,y2519,TRUE
35,294,Largemouth Bass,318,,y00034,TRUE
35,295,Largemouth Bass,312,,y00123,TRUE
35,296,Largemouth Bass,272,,,TRUE
35,297,Largemouth Bass,394,,o0531,TRUE
35,298,Largemouth Bass,363,,o0530,TRUE
35,299,Largemouth Bass,320,,y01525,FALSE
36,300,Largemouth Bass,307,,o0529,TRUE
36,301,Largemouth Bass,330,,o0528,TRUE
36,302,Largemouth Bass,318,,o0527,TRUE
36,303,Largemouth Bass,302,,,TRUE
36,304,Largemouth Bass,277,,,TRUE
36,305,Largemouth Bass,241,,,TRUE
36,306,Largemouth Bass,318,,o0526,TRUE
36,307,Largemouth Bass,297,,,TRUE
36,308,Largemouth Bass,318,,y01598,TRUE
36,309,Largemouth Bass,373,,y01600,TRUE
36,310,Largemouth Bass,290,,,TRUE
36,311,Largemouth Bass,300,,,TRUE
36,312,Largemouth Bass,318,,y01603,TRUE
36,313,Largemouth Bass,333,,y01604,TRUE
36,314,Largemouth Bass,356,,y01605,TRUE
36,315,Largemouth Bass,180,,,TRUE
36,316,Largemouth Bass,305,,y01606,TRUE
37,317,Largemouth Bass,211,,,TRUE
37,318,Largemouth Bass,320,,y00385,TRUE
37,319,Black Crappie,300,,y00384,TRUE
37,320,Largemouth Bass,236,,,TRUE
37,321,Largemouth Bass,193,,,TRUE
37,322,Bluegill,152,,,TRUE
37,323,Largemouth Bass,249,,,TRUE
37,324,Largemouth Bass,318,,y01601,TRUE
37,325,Largemouth Bass,211,,,TRUE
37,326,Largemouth Bass,254,,,TRUE
37,327,Largemouth Bass,318,,y00023,TRUE
37,328,Largemouth Bass,427,,y00316,TRUE
37,329,Largemouth Bass,345,,y00220,TRUE
37,330,Largemouth Bass,330,,y00011,TRUE
37,331,Largemouth Bass,320,,y01534,TRUE
37,332,Largemouth Bass,356,,y00028,TRUE
37,333,Largemouth Bass,325,,y00009,TRUE
37,334,Black Crappie,297,,y00020,TRUE
37,335,Black Crappie,297,,y00318,TRUE
37,336,Largemouth Bass,297,,,TRUE
37,337,Largemouth Bass,201,,,TRUE
37,338,Largemouth Bass,257,,,TRUE
37,339,Largemouth Bass,206,,,TRUE
37,340,Largemouth Bass,201,,,TRUE
37,341,Largemouth Bass,251,,,TRUE
37,342,Largemouth Bass,239,,,TRUE
37,343,Largemouth Bass,203,,,TRUE
37,344,Largemouth Bass,262,,,TRUE
37,345,Largemouth Bass,272,,,TRUE
37,346,Largemouth Bass,353,,y00025,TRUE
37,347,Largemouth Bass,318,,y00229,TRUE
37,348,Largemouth Bass,330,,y00409,TRUE
37,349,Largemouth Bass,292,,,TRUE
37,350,Black Crappie,297,,yunknown,TRUE
37,351,Black Crappie,290,,y09000,TRUE
37,352,Largemouth Bass,318,,y00006,TRUE
37,353,Largemouth Bass,335,,y00015,TRUE
37,354,Largemouth Bass,295,,,TRUE
37,355,Largemouth Bass,323,,y00027,TRUE
37,356,Bluegill,201,,,TRUE
