net,fishID,species,tl,w,tag,scale
101,590,Bluntnose Minnow,46,0.5,,FALSE
101,591,Bluntnose Minnow,53,1,,FALSE
101,592,Bluntnose Minnow,58,1.7,,FALSE
101,593,Bluntnose Minnow,56,1,,FALSE
101,594,Bluntnose Minnow,58,1.1,,FALSE
101,595,Bluntnose Minnow,58,1,,FALSE
101,596,Bluntnose Minnow,56,1,,FALSE
101,597,Bluntnose Minnow,53,1,,FALSE
101,598,Bluntnose Minnow,51,0.8,,FALSE
101,599,Bluntnose Minnow,56,0.8,,FALSE
101,600,Bluntnose Minnow,56,1,,FALSE
101,601,Bluntnose Minnow,58,1,,FALSE
101,602,Iowa Darter,56,0.9,,FALSE
101,603,Bluntnose Minnow,64,1.4,,FALSE
101,604,Iowa Darter,51,0.8,,FALSE
101,605,Bluntnose Minnow,58,1.2,,FALSE
101,606,Bluntnose Minnow,61,1.3,,FALSE
101,607,Bluntnose Minnow,69,1.8,,FALSE
101,608,Bluntnose Minnow,64,1.4,,FALSE
101,609,Bluntnose Minnow,53,0.8,,FALSE
101,610,Bluntnose Minnow,64,1.4,,FALSE
101,611,Bluntnose Minnow,61,1.2,,FALSE
101,612,Bluntnose Minnow,51,0.7,,FALSE
101,613,Bluntnose Minnow,56,1.1,,FALSE
101,614,Bluntnose Minnow,56,1,,FALSE
101,615,Bluntnose Minnow,53,0.9,,FALSE
101,616,Bluntnose Minnow,58,1.2,,FALSE
101,617,Bluntnose Minnow,53,0.8,,FALSE
101,618,Bluntnose Minnow,53,0.9,,FALSE
101,619,Bluntnose Minnow,66,1.5,,FALSE
101,620,Bluntnose Minnow,61,1.3,,FALSE
102,626,Black Crappie,307,461,y00318,TRUE
102,627,Black Crappie,310,466,1061,TRUE
102,628,Black Crappie,315,536,1060,TRUE
102,629,Black Crappie,323,565,1059,TRUE
102,630,Largemouth Bass,429,1070,1058,TRUE
102,631,Largemouth Bass,394,737,1057,TRUE
102,632,Largemouth Bass,361,548,1056,TRUE
102,633,Yellow Perch,249,164,1055,TRUE
102,634,Yellow Perch,264,208,1054,TRUE
102,635,Yellow Perch,254,173,1053,TRUE
102,636,Yellow Perch,249,158,1052,TRUE
102,638,Bluntnose Minnow,74,3.9,,FALSE
102,639,Bluntnose Minnow,61,2.2,,FALSE
102,640,Bluntnose Minnow,84,1.3,,FALSE
102,641,Iowa Darter,48,1,,FALSE
102,642,Bluntnose Minnow,53,1.3,,FALSE
102,643,Bluntnose Minnow,56,2.1,,FALSE
102,644,Bluntnose Minnow,56,1.4,,FALSE
102,645,Bluntnose Minnow,61,2,,FALSE
103,689,Bluegill,206,,1107,TRUE
103,695,Bluegill,137,45.3,,TRUE
103,697,Bluegill,147,50.9,,TRUE
103,699,Bluegill,66,3.4,,TRUE
103,700,Bluegill,150,54.5,,TRUE
103,701,Bluegill,142,48.8,,TRUE
103,702,Largemouth Bass,361,579,1115,TRUE
103,703,Bluegill,150,50.9,,TRUE
104,656,Largemouth Bass,251,172,,TRUE
104,657,Largemouth Bass,386,688,1100,TRUE
104,658,Bluegill,213,197,1099,TRUE
104,659,Bluegill,229,255,1098,TRUE
104,660,Bluegill,185,111,,TRUE
105,704,Yellow Perch,114,14.1,,TRUE
105,705,Yellow Perch,102,9.7,,TRUE
105,706,Yellow Perch,119,13.6,,TRUE
105,707,Yellow Perch,79,4,,TRUE
105,708,Yellow Perch,81,4.3,,TRUE
105,709,Yellow Perch,79,4.1,,TRUE
105,710,Yellow Perch,74,3.4,,TRUE
105,711,Iowa Darter,48,0.7,,FALSE
105,712,Iowa Darter,46,0.7,,FALSE
106,646,Iowa Darter,38,0.6,,FALSE
106,647,Iowa Darter,46,0.9,,FALSE
106,648,Iowa Darter,43,0.8,,FALSE
106,649,Iowa Darter,48,1,,FALSE
106,650,Iowa Darter,41,0.5,,FALSE
106,651,Iowa Darter,41,0.7,,FALSE
106,652,Iowa Darter,43,0.6,,FALSE
106,653,Iowa Darter,43,0.6,,FALSE
106,654,Iowa Darter,46,0.9,,FALSE
106,655,Tadpole Madtom,46,1.3,,FALSE
107,621,Bluegill,203,156,1065,TRUE
107,622,Bluegill,221,242,1064,TRUE
107,623,Bluegill,203,187,1063,TRUE
107,624,Bluegill,229,242,1062,TRUE
107,625,Bluegill,170,83,,TRUE
109,836,Largemouth Bass,424,864,1518,TRUE
109,837,Largemouth Bass,328,410,1519,TRUE
109,838,Largemouth Bass,315,385,1520,TRUE
109,839,Largemouth Bass,325,338,1521,TRUE
109,840,Largemouth Bass,274,235,,TRUE
109,841,Largemouth Bass,348,,1522,TRUE
109,842,Largemouth Bass,318,386,o6860,TRUE
109,843,Largemouth Bass,333,460,1523,TRUE
109,844,Largemouth Bass,386,547,1524,TRUE
109,845,Largemouth Bass,384,540,1525,TRUE
109,846,Largemouth Bass,249,,,TRUE
109,847,Largemouth Bass,307,320,1532,TRUE
109,848,Largemouth Bass,323,420,1776,TRUE
109,849,Largemouth Bass,315,406,1777,TRUE
109,850,Largemouth Bass,351,486,1778,TRUE
109,851,Largemouth Bass,249,274,,TRUE
109,852,Largemouth Bass,287,265,,TRUE
109,853,Largemouth Bass,307,338,1779,TRUE
109,854,Largemouth Bass,302,358,,TRUE
109,855,Largemouth Bass,297,333,,TRUE
109,856,Largemouth Bass,320,386,o0526,TRUE
109,857,Largemouth Bass,333,483,1780,TRUE
109,858,Largemouth Bass,333,426,1781,TRUE
109,859,Largemouth Bass,307,295,1782,TRUE
109,860,Largemouth Bass,229,132,,TRUE
109,861,Largemouth Bass,201,92,,TRUE
109,862,Largemouth Bass,201,88,,TRUE
110,863,Black Crappie,307,415,1783,TRUE
110,864,Largemouth Bass,325,436,1784,TRUE
110,865,Largemouth Bass,325,412,1785,TRUE
110,866,Largemouth Bass,323,444,1786,TRUE
110,867,Largemouth Bass,272,233,,TRUE
111,713,Largemouth Bass,348,556,1117,TRUE
111,714,Yellow Perch,307,340,1118,TRUE
111,717,Bluegill,130,35,,TRUE
111,718,Bluegill,137,45,,TRUE
111,719,Bluegill,132,39,,TRUE
111,722,Bluegill,137,43,,TRUE
111,726,Bluegill,137,50,,TRUE
111,727,Bluntnose Minnow,79,3.8,,FALSE
112,774,Bluegill,203,171,1045,TRUE
112,780,Bluegill,76,6.1,,FALSE
112,781,Bluegill,109,19,,FALSE
112,796,Yellow Perch,229,123,1046,TRUE
112,797,Yellow Perch,239,135,1047,TRUE
112,798,Black Crappie,188,102,,FALSE
112,799,Black Crappie,330,606,1048,TRUE
112,800,Black Crappie,292,362,1049,TRUE
112,801,Largemouth Bass,168,52,,FALSE
113,735,Yellow Perch,267,201,1026,TRUE
113,742,Bluegill,135,39,,TRUE
113,753,Black Crappie,155,47,,TRUE
113,754,Black Crappie,147,37,,TRUE
114,755,Bluegill,66,3.1,,FALSE
114,756,Yellow Perch,297,327,1043,TRUE
114,759,Largemouth Bass,168,48,,TRUE
115,728,Yellow Perch,94,6.3,,FALSE
115,729,Yellow Perch,79,4.2,,FALSE
115,730,Iowa Darter,48,0.8,,FALSE
115,731,Iowa Darter,48,0.8,,FALSE
115,732,Iowa Darter,51,1,,FALSE
115,733,Iowa Darter,51,1.1,,FALSE
115,734,Tadpole Madtom,38,1,,FALSE
116,760,Largemouth Bass,71,3.1,,FALSE
116,761,Bluegill,97,10.9,,FALSE
116,762,Bluegill,91,10.6,,FALSE
116,763,Bluntnose Minnow,74,3.4,,FALSE
116,764,Iowa Darter,51,1.2,,FALSE
116,765,Iowa Darter,48,0.9,,FALSE
116,766,Iowa Darter,51,0.9,,FALSE
116,767,Iowa Darter,43,0.5,,FALSE
116,768,Iowa Darter,51,1.2,,FALSE
116,769,Iowa Darter,56,1.2,,FALSE
116,770,Iowa Darter,53,1.1,,FALSE
116,771,Iowa Darter,43,0.9,,FALSE
116,772,Yellow Perch,91,6.8,,TRUE
116,773,Yellow Perch,84,4.5,,TRUE
119,824,Bluegill,119,25,,TRUE
120,802,Bluegill,94,10.7,,TRUE
120,803,Bluegill,84,8.9,,TRUE
120,804,Bluegill,91,10.6,,TRUE
120,805,Bluegill,84,8.7,,TRUE
120,806,Bluegill,86,9.3,,TRUE
120,807,Bluegill,69,4,,TRUE
121,808,Black Crappie,323,509,1050,TRUE
121,809,Black Crappie,282,352,1700,TRUE
121,812,Black Crappie,142,37,,TRUE
121,816,Bluntnose Minnow,51,1.2,,FALSE
121,817,Bluntnose Minnow,79,3.9,,FALSE
121,818,Bluntnose Minnow,74,3.8,,FALSE
121,819,Bluntnose Minnow,64,1.9,,FALSE
121,820,Bluntnose Minnow,51,1,,FALSE
121,821,Bluntnose Minnow,51,1.1,,FALSE
121,822,Bluntnose Minnow,64,2.1,,FALSE
121,823,Bluntnose Minnow,51,1.2,,FALSE
122,825,Yellow Perch,249,152,1156,TRUE
122,826,Bluegill,132,33,,TRUE
124,835,Pumpkinseed,175,130,,TRUE
125,827,Yellow Perch,221,113,1696,TRUE
125,828,Yellow Perch,84,4.6,,TRUE
125,829,Yellow Perch,91,7.1,,TRUE
125,830,Yellow Perch,81,4.1,,TRUE
125,831,Yellow Perch,71,2.1,,TRUE
125,832,Bluntnose Minnow,81,2.8,,FALSE
125,833,Bluntnose Minnow,81,3.2,,FALSE
125,834,Bluntnose Minnow,79,4.1,,FALSE
129,868,Largemouth Bass,363,624,1787,TRUE
129,869,Largemouth Bass,353,561,1788,TRUE
129,870,Black Crappie,279,344,1789,TRUE
129,871,Largemouth Bass,264,211,,TRUE
129,872,Largemouth Bass,315,367,1790,TRUE
129,873,Largemouth Bass,239,157,,TRUE
129,874,Largemouth Bass,330,433,1791,TRUE
129,875,Largemouth Bass,239,154,,TRUE
129,876,Largemouth Bass,300,292,,TRUE
129,877,Largemouth Bass,310,351,,TRUE
129,878,Largemouth Bass,330,436,o0507,TRUE
129,879,Black Crappie,302,397,1792,TRUE
129,880,Largemouth Bass,267,244,,TRUE
129,881,Largemouth Bass,330,437,1793,TRUE
129,882,Largemouth Bass,234,133,,TRUE
129,883,Largemouth Bass,315,409,1794,TRUE
129,884,Largemouth Bass,310,330,1795,TRUE
129,885,Largemouth Bass,251,187,,TRUE
129,886,Largemouth Bass,226,132,,TRUE
129,887,Largemouth Bass,254,168,,TRUE
129,888,Largemouth Bass,320,385,1796,TRUE
129,889,Largemouth Bass,305,324,1797,TRUE
129,890,Largemouth Bass,333,461,1798,TRUE
129,891,Largemouth Bass,224,110,,TRUE
130,892,Largemouth Bass,310,346,1799,TRUE
130,893,Largemouth Bass,345,450,1800,TRUE
130,894,Largemouth Bass,333,443,1701,TRUE
130,895,Largemouth Bass,348,537,1702,TRUE
130,896,Largemouth Bass,305,306,1703,TRUE
130,897,Largemouth Bass,343,485,o0997,TRUE
130,898,Largemouth Bass,318,383,1019,FALSE
130,899,Largemouth Bass,310,348,1704,TRUE
130,900,Largemouth Bass,292,,,TRUE
130,901,Largemouth Bass,272,242,,TRUE
130,902,Largemouth Bass,257,173,,TRUE
130,903,Largemouth Bass,312,371,y00229,TRUE
130,904,Largemouth Bass,257,207,,TRUE
130,905,Largemouth Bass,305,320,1705,TRUE
130,906,Largemouth Bass,312,349,o0529,TRUE
130,907,Largemouth Bass,378,723,1706,TRUE
130,908,Largemouth Bass,348,571,1707,TRUE
130,909,Largemouth Bass,295,315,,TRUE
130,910,Largemouth Bass,338,462,1708,TRUE
131,911,Largemouth Bass,300,342,,TRUE
131,912,Largemouth Bass,264,215,,TRUE
131,913,Largemouth Bass,251,180,,TRUE
131,914,Largemouth Bass,378,646,1709,TRUE
131,915,Largemouth Bass,325,377,1785,FALSE
201,523,Bluntnose Minnow,56,,,FALSE
203,524,Iowa Darter,46,0.6,,FALSE
203,525,Iowa Darter,44,0.6,,FALSE
203,526,Iowa Darter,46,0.6,,FALSE
203,527,Iowa Darter,43,0.4,,FALSE
203,528,Tadpole Madtom,41,0.5,,FALSE
203,529,Tadpole Madtom,33,0.2,,FALSE
203,530,Tadpole Madtom,30,0.2,,FALSE
203,531,Tadpole Madtom,30,0.3,,FALSE
205,506,Bluegill,48,1.8,,FALSE
205,507,Bluegill,48,1.4,,FALSE
205,508,Bluegill,36,0.6,,FALSE
205,509,Bluegill,30,0.3,,FALSE
205,510,Bluegill,36,0.8,,FALSE
205,511,Bluegill,51,1.3,,FALSE
205,512,Bluegill,58,2.4,,FALSE
205,513,Bluegill,33,0.7,,FALSE
205,514,Bluegill,38,1,,FALSE
205,515,Bluegill,33,0.6,,FALSE
205,516,Bluegill,56,2.8,,FALSE
205,517,Bluegill,33,1.1,,FALSE
205,518,Bluegill,53,2,,FALSE
205,519,Bluegill,66,4.5,,FALSE
205,520,Bluegill,71,4.9,,FALSE
205,521,Iowa Darter,53,1.1,,FALSE
205,522,Bluntnose Minnow,61,2.1,,FALSE
205,502,Bluegill,43,1.4,,FALSE
205,503,Bluegill,56,1.5,,FALSE
205,504,Bluegill,53,1.4,,FALSE
205,505,Bluegill,38,1,,FALSE
206,501,Bluegill,38,0.7,,FALSE
